Symbol,Sector,Industry,MarketCapitalization,PERatio,DividendYield,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta
CAT,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,136217231000.0,19.51,0.0219,118.13,0.115,0.172,0.0798,40.39,0.308,0.167,243.43,19.51,15.9,2.12,7.83,2.688,12.79,1.08
AMGN,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",124268438000.0,15.81,0.0375,49.0,0.302,0.368,0.0815,2.528,0.97,-0.021,249.9,15.81,14.95,5.49,39.6,6.53,13.85,0.626
BUD,MANUFACTURING,MALT BEVERAGES,115433832000.0,15.86,0.0141,4.873,0.128,0.249,0.0418,8.4,16.23,0.074,66.71,15.86,18.21,2.101,1.652,3.405,14.69,1.156
BLK,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",112073515000.0,21.88,0.0271,115.64,0.299,0.351,0.0291,13.03,0.283,-0.014,802.92,21.88,20.88,5.63,2.876,5.82,14.7,1.284
MAR,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,59475505000.0,23.0,0.0107,18.05,0.474,0.669,0.0963,2.864,1.132,0.394,188.99,23.0,20.04,9.99,47.45,3.1,17.38,1.587
ETR,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,21119290000.0,20.59,0.0429,67.14,0.082,0.13,0.019,9.19,0.081,0.036,115.36,18.23,17.48,1.865,2.066,3.904,11.88,0.638
ITT,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,8071904000.0,22.02,0.0118,36.93,0.128,0.158,0.0807,17.95,0.364,0.099,101.8,20.58,15.8,2.238,3.241,2.337,12.34,1.457
GPK,MANUFACTURING,PAPERBOARD CONTAINERS & BOXES,7386720000.0,11.96,0.0166,31.2,0.0646,0.123,0.0701,29.22,0.934,0.086,30.08,11.97,8.96,0.739,3.648,1.503,11.58,0.97
ACLS,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC",5883097000.0,32.95,0.0,29.48,0.195,0.221,0.144,30.0,0.172,0.248,147.2,32.17,13.48,3.163,4.563,2.92,12.48,1.709
ACA,MANUFACTURING,FABRICATED STRUCTURAL METAL PRODUCTS,3656989000.0,34.99,0.0026,46.78,0.125,0.0765,0.0323,13.28,1.78,0.025,81.6,13.18,27.62,1.186,1.368,1.492,10.91,0.585
LXP,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,3022358000.0,51.86,0.0487,1.158,0.351,0.158,0.008,4.878,0.091,0.06,11.2,27.03,,8.92,1.407,13.78,12.21,0.806
FTDR,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,2849192000.0,30.58,0.0,20.56,0.0542,0.107,0.103,2.889,12.5,0.046,31.0,30.58,17.21,1.048,38.25,1.337,14.42,0.753
